,TextID,Sentiment Scores,GPE Mentions
126,4632,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.4215}",Iraq
127,71,"{'neg': 0.27, 'neu': 0.73, 'pos': 0.0, 'compound': -0.5719}",Paris
128,1108,"{'neg': 0.541, 'neu': 0.459, 'pos': 0.0, 'compound': -0.7096}",US
129,4701,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.0258}",Baltimore
130,4929,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Iowa
131,667,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",U.S.
132,3382,"{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.3818}",Iowa
133,5199,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Kenya
134,1809,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Indiana
135,2812,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Palin
136,4666,"{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.4019}",Indiana
137,4808,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Russia
138,4411,"{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.5106}",Syria
139,1754,"{'neg': 0.0, 'neu': 0.316, 'pos': 0.684, 'compound': 0.7579}",Turkey
140,854,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",New Hampshire
141,3137,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.2732}",Kenya
142,2010,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Iraq
143,1109,"{'neg': 0.649, 'neu': 0.351, 'pos': 0.0, 'compound': -0.8126}",Hiroshima
144,3592,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.5574}",U.S.
