,TextID,Sentiment Scores,GPE Mentions
145,9196,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.3802}",U.S.
146,9676,"{'neg': 0.792, 'neu': 0.208, 'pos': 0.0, 'compound': -0.5859}",US
147,10194,"{'neg': 0.111, 'neu': 0.554, 'pos': 0.335, 'compound': 0.7399}",The United States
148,8772,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Malaysia
149,6862,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",China
150,6871,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.743}",Michigan
151,7391,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.3412}",Warsaw
152,9283,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",London
153,8646,"{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.6705}",U.S.
154,6784,"{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.4767}",Russia
155,9508,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.3818}",Tokyo
156,8197,"{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0.5319}",Pakistan
157,5575,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Balochistan
158,8114,"{'neg': 0.381, 'neu': 0.619, 'pos': 0.0, 'compound': -0.8126}",United States
159,10246,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Saudi Arabia
160,9029,"{'neg': 0.508, 'neu': 0.492, 'pos': 0.0, 'compound': -0.7351}",North Korea
161,6448,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}",Israel
162,8294,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",US
163,7338,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Russia
164,5926,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",America
165,5914,"{'neg': 0.14, 'neu': 0.698, 'pos': 0.163, 'compound': 0.1027}",Philippines
166,9961,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Russia
167,6391,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.2023}",China
168,9521,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",California
169,9340,"{'neg': 0.212, 'neu': 0.481, 'pos': 0.308, 'compound': 0.25}",Russia
170,8145,"{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.25}",Tal Afar
